expiry,strike,type,bid_usd,ask_usd,mid_usd,underlying,mark_iv,valuation
2026-08-28T08:00:00+00:00,73000.0,C,119.825495,132.438705,126.13210000000001,63066.05,32.31,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,62500.0,P,119.427692,144.570364,131.99902799999998,62856.68,26.69,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,55000.0,P,4424.515695,4521.402900000001,4472.9592975000005,64591.47,44.03,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,150000.0,C,359.101435,457.03819,408.0698125,65291.17,45.07,2026-07-31T16:24:21.479000+00:00
2026-08-03T08:00:00+00:00,65000.0,C,37.726307999999996,50.301744,44.014026,62877.18,26.78,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,58000.0,C,6772.280379999999,7025.44974,6898.865059999999,63292.34,38.96,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,54000.0,C,10923.9436,11177.9888,11050.966199999999,63511.3,42.41,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,59000.0,P,945.99075,1009.0568000000001,977.523775,63066.05,37.3,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,82000.0,P,18799.3448,19180.4126,18989.8787,63511.3,36.5,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,106000.0,P,42016.751234999996,42630.370200000005,42323.560717500004,64591.47,41.16,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,62500.0,P,534.54579,597.43353,565.98966,62887.74,29.91,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,68000.0,P,2892.8360399999997,7640.860409999999,5266.848225,62887.74,35.42,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,61500.0,P,50.300624,69.163358,59.731991,62875.78,27.17,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,300000.0,P,226649.86953999999,247694.57259,237172.221065,63292.34,84.97,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,48000.0,C,14915.120825,15261.9841,15088.5524625,63066.05,52.68,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,54000.0,P,1524.2712000000001,1587.7825000000003,1556.0268500000002,63511.3,42.41,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,210000.0,P,139094.76945999998,153896.16644,146495.46795,63936.92,58.51,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,66500.0,P,1414.29735,6065.764190000001,3740.03077,62857.66,47.4,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,35000.0,P,69.622795,75.95213999999999,72.78746749999999,63293.45,70.96,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,64000.0,P,3860.83274,3955.77125,3908.301995,63292.34,35.51,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,64500.0,C,163.50812399999998,194.95199399999998,179.230059,62887.74,28.67,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,135000.0,P,67217.6439,76806.601575,72012.1227375,63293.45,66.18,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,56000.0,P,472.995375,536.0614250000001,504.52840000000003,63066.05,41.01,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,80000.0,C,1694.298965,1726.26687,1710.2829175,63935.81,38.87,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,105000.0,P,41046.79002,41814.01974,41430.40488,63935.81,41.77,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,59000.0,C,1729.114475,5878.989215,3804.051845,62876.89,43.1,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,200000.0,P,129440.29454,143570.35385999997,136505.32419999997,63936.92,57.56,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,61500.0,C,1414.97415,1980.96381,1697.9689799999999,62887.74,31.82,2026-07-31T16:24:21.479000+00:00
2026-08-03T08:00:00+00:00,63500.0,C,270.368606,295.519174,282.94388999999995,62876.42,25.56,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,64000.0,P,4985.63705,5049.14835,5017.3927,63511.3,37.52,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,75000.0,C,1143.2033999999999,1206.7147,1174.95905,63511.3,36.01,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,170000.0,P,100411.18960499999,112463.08978999998,106437.1396975,63935.81,52.46,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,60000.0,C,10883.662695,11077.437105,10980.549900000002,64591.47,42.59,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,63000.0,C,2364.976875,2428.042925,2396.5099,63066.05,33.98,2026-07-31T16:24:21.479000+00:00
2026-08-21T08:00:00+00:00,68000.0,C,346.55698,409.56734,378.06216,63010.36,31.1,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,66000.0,P,6065.3291500000005,6192.351750000001,6128.840450000001,63511.3,36.98,2026-07-31T16:24:21.479000+00:00
2026-08-07T08:00:00+00:00,68000.0,P,4907.72256,5473.998239999999,5190.8604,62919.52,34.56,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,72000.0,C,3324.6621199999995,3420.565835,3372.6139774999997,63935.81,38.86,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,78000.0,C,227.85242399999998,253.16935999999998,240.51089199999998,63292.34,34.4,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,40000.0,P,735.261815,767.22972,751.2457674999999,63935.81,55.48,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,135000.0,C,51.148648,76.72297199999998,63.93581,63935.81,47.97,2026-07-31T16:24:21.479000+00:00
2026-08-03T08:00:00+00:00,66000.0,P,1006.02272,5564.563169999999,3285.2929449999997,62876.42,29.74,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,63000.0,P,754.65288,817.54062,786.09675,62887.74,29.35,2026-07-31T16:24:21.479000+00:00
2026-08-07T08:00:00+00:00,64000.0,C,597.7248950000001,660.643305,629.1841000000001,62918.41,31.85,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,66000.0,P,3973.1611500000004,4130.826275,4051.9937125,63066.05,32.26,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,76000.0,C,984.42515,1047.9364500000001,1016.1808000000001,63511.3,36.04,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,104000.0,P,40023.81706,42836.9927,41430.40488,63935.81,41.58,2026-07-31T16:24:21.479000+00:00
2026-08-07T08:00:00+00:00,66000.0,P,3145.9205,3429.0533450000003,3287.4869225,62918.41,32.65,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,65000.0,P,1791.44331,2482.87757,2137.16044,62857.66,40.29,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,56000.0,C,4810.912109999999,8804.2836,6807.597855,62887.74,51.41,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,68000.0,P,11948.284109999999,12144.15762,12046.220865,65291.17,42.43,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,85000.0,P,22025.886544999998,22409.501405,22217.693975,63935.81,39.06,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,84000.0,P,21130.785205,21546.36797,21338.5765875,63935.81,38.97,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,70000.0,C,2191.1398500000005,2286.4067999999997,2238.773325,63511.3,36.17,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,86000.0,C,279.44972,285.80084999999997,282.625285,63511.3,37.2,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,84000.0,P,20570.0105,21266.22624,20918.11837,63292.34,37.15,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,57000.0,C,3773.2643999999996,7860.9675,5817.115949999999,62887.74,47.65,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,180000.0,P,109450.24591499999,122497.722855,115973.984385,64591.47,49.81,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,72000.0,C,7736.8744799999995,7900.09968,7818.48708,65290.08,42.02,2026-07-31T16:24:21.479000+00:00
2026-08-14T08:00:00+00:00,68000.0,C,163.702032,188.88696000000002,176.294496,62962.32,30.87,2026-07-31T16:24:21.479000+00:00
2026-08-14T08:00:00+00:00,59000.0,P,440.73624,472.2174,456.47682000000003,62962.32,37.93,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,110000.0,P,45997.629265,46617.895379999994,46307.7623225,65291.17,42.03,2026-07-31T16:24:21.479000+00:00
2026-08-07T08:00:00+00:00,62000.0,P,723.57448,786.494,755.03424,62919.52,33.86,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,165000.0,P,96204.3568,107786.85502,101995.60590999998,63292.34,71.63,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,60000.0,C,5411.49507,5538.079749999999,5474.787409999999,63292.34,37.63,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,110000.0,P,46393.28522,47342.67032,46867.97777,63292.34,52.64,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,60000.0,C,785.961125,4904.39742,2845.1792725,62876.89,36.04,2026-07-31T16:24:21.479000+00:00
2026-08-21T08:00:00+00:00,60000.0,C,3843.63196,4064.16822,3953.90009,63010.36,36.56,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,66000.0,C,1072.1228500000002,1135.1888999999999,1103.6558750000002,63066.05,32.26,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,130000.0,C,63.93581,76.72297199999998,70.329391,63935.81,46.79,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,60000.0,P,88.042836,113.197932,100.620384,62887.74,36.06,2026-07-31T16:24:21.479000+00:00
2026-08-14T08:00:00+00:00,64000.0,P,2109.2089100000003,2203.6511,2156.430005,62961.46,31.8,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,92000.0,C,1711.673955,1776.265425,1743.96969,64591.47,40.31,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,68000.0,P,2860.8479899999998,7607.96938,5234.408685,62875.78,37.53,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,58000.0,P,6920.74848,7083.97368,7002.36108,65290.08,44.29,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,96000.0,P,32618.69235,33167.719845,32893.2060975,64591.47,40.49,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,88000.0,C,222.28955000000002,247.69407,234.99181000000002,63511.3,37.74,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,64000.0,P,2774.85736,2869.45477,2822.156065,63064.94,33.3,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,67000.0,P,1917.1287399999999,6599.9514,4258.54007,62856.68,47.4,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,62000.0,C,5493.727449999999,5588.9944,5541.360925,63511.3,38.2,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,115000.0,P,51361.733909999995,52374.411349999995,51868.072629999995,63292.34,55.41,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,74000.0,C,7051.44636,7214.674285,7133.0603224999995,65291.17,41.83,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,68000.0,C,9238.700555,9401.928479999999,9320.314517499999,65291.17,42.43,2026-07-31T16:24:21.479000+00:00
2026-08-03T08:00:00+00:00,66500.0,P,1414.7365499999999,6067.64787,3741.1922099999997,62877.18,31.03,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,63500.0,P,1037.64771,1131.97932,1084.813515,62887.74,28.68,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,62000.0,P,377.32644,440.21418,408.77031,62887.74,30.52,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,75000.0,C,379.75404,443.04638,411.40020999999996,63292.34,33.74,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,83000.0,P,19708.140625,20370.334150000002,20039.2373875,63066.05,40.67,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,65000.0,P,8784.43992,8913.622860000001,8849.03139,64591.47,41.53,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,57000.0,C,8669.29245,8859.826350000001,8764.559400000002,63511.3,40.47,2026-07-31T16:24:21.479000+00:00
2026-08-14T08:00:00+00:00,58000.0,C,5162.91024,5414.75952,5288.83488,62962.32,39.21,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,62000.0,P,43.999676,56.571011999999996,50.285344,62856.68,29.11,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,92000.0,C,607.390195,639.3581,623.3741474999999,63935.81,39.81,2026-07-31T16:24:21.479000+00:00
2026-08-07T08:00:00+00:00,64500.0,P,1824.6338900000003,2265.06276,2044.8483250000002,62918.41,31.86,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,240000.0,P,168705.73227,185478.20236999998,177091.96732,63292.34,74.86,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,63000.0,C,301.803744,345.81678999999997,323.810267,62875.78,23.45,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,90000.0,C,1905.448365,2002.33557,1953.8919675,64591.47,40.23,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,58000.0,C,2734.2655799999998,6788.5214399999995,4761.39351,62856.68,64.72,2026-07-31T16:24:21.479000+00:00
2026-08-14T08:00:00+00:00,67000.0,P,4186.99428,4470.32472,4328.659500000001,62962.32,30.8,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,86000.0,C,991.005055,1054.940865,1022.97296,63935.81,39.07,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,95000.0,P,31456.29298,32279.093399999998,31867.693189999995,63292.34,43.18,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,90000.0,P,28009.91193,28466.950119999998,28238.431024999998,65291.17,41.3,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,68000.0,P,7303.799500000001,7526.08905,7414.944275000001,63511.3,36.52,2026-07-31T16:24:21.479000+00:00
2026-08-21T08:00:00+00:00,72000.0,C,75.612432,81.913468,78.76295,63010.36,32.08,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,160000.0,P,90106.64910000001,101894.79495,96000.72202500001,64592.58,47.86,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,74000.0,C,2813.22448,2877.1614,2845.19294,63936.92,38.78,2026-07-31T16:24:21.479000+00:00
2026-08-07T08:00:00+00:00,67000.0,P,4058.30904,4341.44688,4199.87796,62919.52,33.31,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,58000.0,P,1582.3085,1645.6008399999998,1613.9546699999999,63292.34,38.96,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,54000.0,C,12467.6994,12723.44708,12595.57324,63936.92,43.59,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,70000.0,P,4808.53602,9679.92872,7244.232370000001,62856.68,47.53,2026-07-31T16:24:21.479000+00:00
2026-08-03T08:00:00+00:00,60000.0,P,37.725851999999996,50.301136,44.013494,62876.42,34.27,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,64000.0,P,942.8502,1414.2753,1178.56275,62856.68,30.14,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,72000.0,P,14429.34857,14657.867665,14543.6081175,65291.17,42.02,2026-07-31T16:24:21.479000+00:00
2026-08-21T08:00:00+00:00,64000.0,P,2488.90922,2583.4247600000003,2536.16699,63010.36,32.91,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,45000.0,C,19947.972719999998,20171.748055,20059.860387499997,63935.81,50.04,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,63500.0,P,597.330455,1006.03024,801.6803474999999,62876.89,23.23,2026-07-31T16:24:21.479000+00:00
2026-08-21T08:00:00+00:00,58000.0,C,5450.39614,5670.9324,5560.664269999999,63010.36,38.73,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,70000.0,C,8455.06536,8618.290560000001,8536.67796,65290.08,42.23,2026-07-31T16:24:21.479000+00:00
2026-08-21T08:00:00+00:00,61000.0,C,3182.079235,3276.59644,3229.3378374999998,63011.47,35.55,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,68000.0,P,8695.27016,8919.045495,8807.157827500001,63935.81,39.28,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,115000.0,P,50860.936855,53418.369255,52139.653054999995,63935.81,43.72,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,98000.0,P,34459.549245,35073.16821,34766.3587275,64591.47,40.61,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,100000.0,P,36609.842025000005,38785.62075,37697.7313875,63066.05,59.41,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,78000.0,P,18542.382719999998,18868.83312,18705.60792,65290.08,41.58,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,48000.0,P,730.37995,762.1356000000001,746.257775,63511.3,47.45,2026-07-31T16:24:21.479000+00:00
2026-08-07T08:00:00+00:00,70000.0,C,18.875523,31.459205,25.167364000000003,62918.41,39.39,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,84000.0,C,94.940175,113.92820999999999,104.4341925,63293.45,37.15,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,102000.0,P,38105.742759999994,38841.004575,38473.3736675,63935.81,41.3,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,58000.0,P,25.155096,37.73264399999999,31.44387,62887.74,42.94,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,120000.0,C,946.7061600000001,1077.2863200000002,1011.9962400000001,65290.08,42.61,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,61500.0,P,264.12850799999995,295.572378,279.850443,62887.74,31.82,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,98000.0,P,34591.728425,36799.040175,35695.3843,63066.05,57.12,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,65000.0,P,4398.8176300000005,4493.7561399999995,4446.286885,63292.34,35.05,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,170000.0,P,99729.22968,112195.38339,105962.30653500001,64591.47,48.8,2026-07-31T16:24:21.479000+00:00
2026-08-14T08:00:00+00:00,80000.0,C,6.296146,12.592292,9.444218999999999,62961.46,47.52,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,160000.0,P,91362.49278999999,102628.52930999998,96995.51104999999,63292.34,71.63,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,80000.0,P,16645.88542,17310.454990000002,16978.170205,63292.34,35.1,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,61500.0,C,817.13684,3425.68906,2121.4129500000004,62856.68,31.85,2026-07-31T16:24:21.479000+00:00
2026-08-21T08:00:00+00:00,56000.0,P,315.0518,346.55698,330.80439,63010.36,41.71,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,56000.0,P,6.288774,25.155096,15.721935,62887.74,51.41,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,64500.0,C,6.285668,12.571336,9.428502,62856.68,33.75,2026-07-31T16:24:21.479000+00:00
2026-08-04T08:00:00+00:00,66000.0,C,37.73264399999999,44.021418,40.877030999999995,62887.74,30.47,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,90000.0,P,27193.008869999998,27677.444895,27435.226882500003,64591.47,40.23,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,80000.0,P,16957.5171,17306.829250000003,17132.173175,63511.3,36.18,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,54000.0,P,4101.558345,4198.44555,4150.0019475,64591.47,44.38,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,90000.0,C,6.306605,18.919815,12.61321,63066.05,48.38,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,60000.0,P,6329.96406,6459.147000000001,6394.5555300000005,64591.47,42.59,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,65000.0,C,5882.09452,6009.9661399999995,5946.03033,63935.81,39.8,2026-07-31T16:24:21.479000+00:00
2026-08-07T08:00:00+00:00,71000.0,C,12.583904,25.167808,18.875856,62919.52,41.08,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,65000.0,P,1823.39762,2452.15542,2137.77652,62875.78,28.56,2026-07-31T16:24:21.479000+00:00
2026-08-28T08:00:00+00:00,53000.0,C,10185.167075000001,10437.431275,10311.299175,63066.05,45.31,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,105000.0,P,41393.9163,42280.0246,41836.97045,63293.45,49.34,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,230000.0,P,158432.93718,174640.665015,166536.8010975,63935.81,62.26,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,72000.0,C,727.86191,791.15425,759.50808,63292.34,33.71,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,130000.0,P,62374.60107,71583.63653999999,66979.11880499999,63292.34,63.28,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,62500.0,C,439.99676,534.28178,487.13927,62856.68,26.69,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,62500.0,C,565.8920099999999,628.7689,597.330455,62876.89,23.7,2026-07-31T16:24:21.479000+00:00
2026-09-25T08:00:00+00:00,70000.0,P,7690.154175,8006.621424999999,7848.3877999999995,63293.45,33.71,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,150000.0,C,142.101234,180.85611600000001,161.478675,64591.47,46.59,2026-07-31T16:24:21.479000+00:00
2026-12-25T08:00:00+00:00,45000.0,P,1118.876675,1150.84458,1134.8606275,63935.81,50.04,2026-07-31T16:24:21.479000+00:00
2026-08-01T08:00:00+00:00,69000.0,P,3834.2574799999998,8642.793500000002,6238.52549,62856.68,47.4,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,67000.0,P,6668.6865,6795.7091,6732.1978,63511.3,36.74,2026-07-31T16:24:21.479000+00:00
2027-06-25T08:00:00+00:00,60000.0,C,13058.016000000001,13221.2412,13139.628600000002,65290.08,43.79,2026-07-31T16:24:21.479000+00:00
2026-08-14T08:00:00+00:00,50000.0,P,25.184584,37.776875999999994,31.48073,62961.46,54.71,2026-07-31T16:24:21.479000+00:00
2026-08-07T08:00:00+00:00,53000.0,C,9689.60608,10727.77816,10208.69212,62919.52,58.32,2026-07-31T16:24:21.479000+00:00
2026-08-21T08:00:00+00:00,67000.0,C,535.58806,567.0932399999999,551.3406500000001,63010.36,31.11,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,59000.0,C,7303.799500000001,7430.8221,7367.310800000001,63511.3,39.44,2026-07-31T16:24:21.479000+00:00
2026-08-02T08:00:00+00:00,62000.0,C,534.44413,3018.03744,1776.240785,62875.78,25.26,2026-07-31T16:24:21.479000+00:00
2027-03-26T08:00:00+00:00,106000.0,C,775.0976400000001,839.68911,807.3933750000001,64591.47,41.16,2026-07-31T16:24:21.479000+00:00
2026-10-30T08:00:00+00:00,48000.0,C,16131.870200000001,16354.15975,16243.014975,63511.3,47.45,2026-07-31T16:24:21.479000+00:00
